web-scraper-order,web-scraper-start-url,data,image-src,name
"1761510295-1","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/35ee05f2-4347-40ef-b109-e943a98a51fa.jpg","סינמה סיטי"
"1761510295-2","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/613cb7d9-92b6-42df-a9e8-d6a1fb6b01fd.jpg","פוקס הום אונליין"
"1761510295-3","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/e366bcb2-c77a-4781-be9c-05eff2146060.png","terminal x"
"1761510295-4","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/a648b9a6-2a10-4edc-a41d-1d21aa6f8f76.jpg","נאוטיקה הום אונליין"
"1761510295-5","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/4ac0dca1-44df-4a6c-a882-c51645da2074.png","H&O און ליין"
"1761510295-6","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/0eb71a18-758f-4c28-a933-bfb3198a4ade.jpg","מגה ספורט אונליין"
"1761510295-7","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/310b3137-ab06-4d05-ba5d-a5aa2adb99ca.png","דיל תאורה אונליין"
"1761510295-8","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/077b1df2-3d22-4dda-aaef-37d532fa7578.png","מוזה קוקטיילים אונליין"
"1761510295-9","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/485c950c-95f8-4062-a74f-aa522398ca63.jpg","GA-DE אונליין"
"1761510295-10","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/6705007d-3c59-4643-bcaf-8419ea4d01a0.jpg","Carter's online"
"1761510295-11","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/6061e673-bb03-477d-b27f-f0efb3335585.jpg","מיננה אונליין"
"1761510295-12","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/48f35707-c8d5-49c5-bade-fefdc4da5cd4.png","קרליין אונליין"
"1761510295-13","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/ffaf5276-7d4e-4f0d-9dcc-9f350463065f.jpg","שר ספא אונליין"
"1761510295-14","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/45bc6394-a9f0-4455-b607-5382054cd5cb.png","Lenovo"
"1761510295-15","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/94ec60a0-f872-4dde-820d-19215c264c76.png","אהבה קטנה אונליין"
"1761510295-16","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/f940acb7-5e9b-422d-b02b-2852f001e530.png","פיקניק אונליין"
"1761510295-17","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d2e78381-6f76-45f7-a0ab-66908c139d67.png","ATIA"
"1761510295-18","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/9094e206-746f-47bc-a9f1-8e979054aaaa.png","YOOZ"
"1761510295-19","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/9dd531da-ae19-4b12-91cf-ef8f094cc603.png","פוקס אונליין"
"1761510295-20","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/f11ee567-fa09-47de-b7fa-8af0a500ac99.png","קרביץ אונליין"
"1761510295-21","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/26f314a3-1da4-4a97-b438-16032ad6490d.png","פוט לוקר אונליין"
"1761510295-22","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/4fe1a65d-bc71-4226-83a6-24cb46c56509.png","שילב אונליין"
"1761510295-23","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/03e0eb30-224e-4cb2-abdb-ef775d3e12b2.png","The beauty intelligence"
"1761510295-24","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/f90a35dd-24e7-47fa-ae52-37c78af4a02f.png","ללין אונליין"
"1761510295-25","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/76bf627b-db74-41e7-9367-7a768012876b.png","ESTHER אונליין"
"1761510295-26","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/1d4eca77-fa62-4c51-9ade-9070bf4fe502.png","מינוס 417 אונליין"
"1761510295-27","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/5113c07a-1eed-4ac5-92f2-94c318d944c6.png","BEENY ONLINE"
"1761510295-28","https://www.behatsdaa.org.il/card/shops?walletId=2110","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/034ac723-52e2-4683-8ed8-066e6a95d24d.png","NOAM LIVING"
"1761510295-29","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/69f77ea3-c0ba-453b-b705-2837261378df.png","DISKISS אונליין"
"1761510295-30","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/e53ec340-4a6c-4b58-9711-b9524dcb90ca.png","קאזה בלה אונליין"
"1761510295-31","https://www.behatsdaa.org.il/card/shops?walletId=2110","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d6d0a64b-51a2-498c-84d5-65d8a0c6bdb1.png","Take a nap online"
