web-scraper-order,web-scraper-start-url,data,image-src,name
"1761510349-1","https://www.behatsdaa.org.il/card/shops?walletId=2868","לאתר האינטרנט","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/fef7e308-e459-4f4f-a713-8c7f47f7d395.png","דומינוס פיצה אונליין"
"1761510349-2","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/91f6cc70-4309-41f3-ae3d-c55a36b06e49.png","סלון את"
"1761510349-3","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/af57fcb5-edd8-4e1f-a274-ba20377fb7de.jpg","קפה גרג"
"1761510349-4","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d2ab51a0-3abd-4f78-ab3a-13895c84242d.png","קפה קפה"
"1761510349-5","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d7918fe3-7952-476e-bdaf-0ae2bfb6cbb7.png","לחם ארז"
"1761510349-6","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/d3cfd247-ca35-4dbf-b053-afe7c7898966.jpg","קפה מנדרין"
"1761510349-7","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/376f1c0c-c9ce-4fab-9649-593438fbafd9.jpg","קפה נטו"
"1761510349-8","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/592cf9c6-cd0d-469d-ace3-574fd79bd638.png","פיצה עגבניה"
"1761510349-9","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/05afadaf-e96e-4392-8448-cf69eb365193.jpg","בטר בורגר"
"1761510349-10","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/cfb17a6d-0ec4-4422-ab4a-799d585f6be8.jpg","איז קפה"
"1761510349-11","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/2a6c7374-505b-4058-b5f3-daffd628df31.jpg","איטלקיה בתחנה"
"1761510349-12","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/03791482-c63f-4859-b9e8-18db9a2f28b8.jpg","אנרג'וסר"
"1761510349-13","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/18a31e8b-b7ec-4008-8bab-7257bd0ba757.png","גורילה"
"1761510349-14","https://www.behatsdaa.org.il/card/shops?walletId=2868","לרשימת הסניפים","https://pics.k4a.co.il/share/NewUploads/BusinessLogo/2b62405b-bccb-440b-b2bf-71ba7f77d485.png","גשן"
